iter	Passed	Remaining
323	10026	20919
324	10057	20888
325	10088	20858
326	10119	20826
327	10147	20789
328	10178	20758
329	10206	20722
330	10238	20693
331	10271	20666
332	10305	20641
333	10336	20610
334	10365	20576
335	10396	20545
336	10427	20515
337	10459	20485
338	10489	20452
339	10520	20422
340	10550	20389
341	10580	20357
342	10612	20327
343	10644	20299
344	10676	20269
345	10706	20237
346	10736	20204
347	10767	20173
348	10798	20142
349	10826	20106
350	10853	20067
351	10882	20033
352	10912	20001
353	10942	19968
354	10972	19936
355	10989	19880
356	11019	19847
357	11037	19793
358	11067	19761
359	11098	19730
360	11128	19698
361	11159	19668
362	11191	19638
363	11224	19611
364	11257	19584
365	11289	19556
366	11323	19530
367	11354	19500
368	11385	19469
369	11414	19436
370	11446	19406
371	11477	19375
372	11507	19343
373	11537	19311
374	11566	19278
375	11598	19248
376	11630	19219
377	11660	19186
378	11691	19156
379	11723	19127
380	11755	19098
381	11786	19068
382	11816	19036
383	11847	19004
384	11877	18973
385	11906	18939
386	11937	18908
387	11966	18874
388	11996	18842
389	12027	18812
390	12057	18780
391	12086	18746
392	12117	18716
393	12147	18682
394	12178	18653
395	12208	18621
396	12239	18590
397	12270	18559
398	12302	18530
399	12333	18499
400	12365	18470
401	12396	18439
402	12425	18407
403	12457	18377
404	12486	18344
405	12515	18311
406	12546	18280
407	12577	18249
408	12607	18218
409	12639	18188
410	12668	18155
411	12699	18124
412	12729	18092
413	12760	18061
414	12790	18029
415	12821	17998
416	12852	17968
417	12883	17937
418	12914	17907
419	12944	17876
420	12975	17844
421	13008	17817
422	13039	17787
423	13070	17756
424	13103	17727
425	13134	17697
426	13165	17667
427	13195	17635
428	13226	17604
429	13257	17573
430	13289	17544
431	13319	17512
432	13349	17481
433	13381	17451
434	13411	17419
435	13441	17387
436	13472	17357
437	13503	17326
438	13533	17294
439	13563	17262
440	13593	17230
441	13623	17198
442	13653	17167
443	13682	17134
444	13712	17101
445	13742	17069
446	13772	17038
447	13802	17006
448	13835	16978
449	13865	16946
450	13895	16914
451	13925	16882
452	13954	16850
453	13984	16817
454	14013	16785
455	14043	16753
456	14073	16721
457	14081	16663
458	14111	16632
459	14142	16601
460	14173	16571
461	14204	16540
462	14233	16508
463	14265	16479
464	14296	16448
465	14326	16417
466	14357	16386
467	14386	16354
468	14417	16323
469	14447	16291
470	14479	16262
471	14509	16231
472	14540	16200
473	14571	16169
474	14603	16140
475	14633	16108
476	14665	16079
477	14696	16049
478	14726	16018
479	14757	15987
480	14787	15955
481	14824	15932
482	14857	15903
483	14890	15875
484	14921	15844
485	14952	15814
486	14983	15783
487	15014	15753
488	15045	15721
489	15076	15692
490	15107	15661
491	15139	15631
492	15169	15600
493	15200	15569
494	15231	15538
495	15260	15506
496	15290	15474
497	15319	15442
498	15350	15411
499	15381	15381
500	15413	15352
501	15444	15321
502	15474	15290
503	15507	15261
504	15538	15230
505	15568	15199
506	15600	15169
507	15630	15137
508	15660	15107
509	15691	15075
510	15720	15043
511	15750	15011
512	15781	14981
513	15811	14950
514	15842	14920
515	15873	14889
516	15904	14858
517	15934	14827
518	15967	14797
519	16000	14769
520	16032	14739
521	16062	14708
522	16095	14679
523	16128	14651
524	16160	14621
525	16192	14591
526	16225	14562
527	16258	14534
528	16291	14505
529	16327	14478
530	16360	14450
531	16394	14422
532	16424	14390
533	16456	14361
534	16486	14329
535	16518	14299
536	16548	14268
537	16578	14236
538	16609	14206
539	16640	14175
540	16671	14144
541	16706	14117
542	16736	14085
543	16767	14055
544	16797	14023
545	16828	13993
546	16858	13961
547	16889	13930
548	16920	13899
549	16925	13848
550	16956	13817
551	16988	13788
552	17020	13757
553	17052	13728
554	17083	13697
555	17114	13667
556	17145	13635
557	17175	13604
558	17205	13573
559	17237	13543
560	17267	13512
561	17297	13480
562	17326	13448
563	17356	13417
564	17384	13384
565	17413	13352
566	17441	13319
567	17471	13287
568	17502	13257
569	17531	13225
570	17559	13192
571	17589	13161
572	17618	13129
573	17648	13097
574	17677	13065
575	17708	13035
576	17741	13006
577	17772	12975
578	17802	12944
579	17833	12913
580	17871	12888
581	17901	12857
582	17931	12826
583	17963	12795
584	17996	12766
585	18027	12735
586	18034	12688
587	18064	12657
588	18096	12627
589	18128	12597
590	18159	12567
591	18190	12536
592	18219	12505
593	18249	12473
594	18279	12442
595	18310	12411
596	18313	12362
597	18343	12331
598	18374	12300
599	18404	12269
600	18434	12238
601	18466	12208
602	18498	12178
603	18531	12149
604	18563	12119
605	18593	12089
606	18625	12059
607	18656	12028
608	18687	11997
609	18718	11967
610	18748	11936
611	18779	11905
612	18811	11875
613	18843	11846
614	18874	11815
615	18905	11785
616	18935	11754
617	18966	11723
618	18996	11692
619	19025	11660
620	19055	11629
621	19085	11598
622	19115	11567
623	19145	11536
624	19174	11504
625	19205	11474
626	19235	11443
627	19264	11411
628	19294	11380
629	19324	11349
630	19353	11317
631	19384	11286
632	19414	11255
633	19444	11224
634	19473	11193
635	19503	11162
636	19533	11131
637	19566	11101
638	19596	11071
639	19626	11040
640	19657	11009
641	19687	10978
642	19717	10947
643	19746	10915
644	19753	10872
645	19784	10841
646	19815	10811
647	19846	10780
648	19875	10749
649	19908	10720
650	19938	10689
651	19970	10659
652	20000	10628
653	20030	10597
654	20061	10566
655	20092	10536
656	20122	10505
657	20154	10475
658	20185	10444
659	20214	10413
660	20244	10382
661	20277	10353
662	20307	10322
663	20326	10285
664	20355	10254
665	20386	10224
666	20416	10193
667	20446	10162
668	20475	10130
669	20505	10099
670	20536	10069
671	20566	10038
672	20595	10007
673	20626	9976
674	20656	9945
675	20686	9914
676	20715	9883
677	20746	9853
678	20777	9822
679	20810	9792
680	20840	9762
681	20870	9731
682	20904	9702
683	20936	9672
684	20967	9641
685	20998	9611
686	21003	9569
687	21034	9539
688	21067	9509
689	21097	9478
690	21127	9447
691	21156	9416
692	21161	9374
693	21191	9343
694	21222	9313
695	21252	9282
696	21281	9251
697	21311	9220
698	21343	9190
699	21374	9160
700	21404	9129
701	21435	9099
702	21466	9068
703	21497	9038
704	21527	9007
705	21558	8977
706	21590	8947
707	21618	8916
708	21649	8885
709	21680	8855
710	21711	8824
711	21740	8793
712	21770	8763
713	21799	8731
714	21829	8701
715	21858	8670
716	21889	8639
717	21919	8609
718	21948	8578
719	21978	8547
720	22008	8516
721	22037	8485
722	22069	8455
723	22099	8424
724	22127	8393
725	22155	8361
726	22185	8330
727	22196	8293
728	22225	8262
729	22256	8231
730	22286	8201
731	22315	8170
732	22345	8139
733	22374	8108
734	22406	8078
735	22436	8047
736	22465	8016
737	22495	7986
738	22526	7955
739	22537	7918
740	22567	7887
741	22597	7857
742	22626	7826
743	22655	7795
744	22685	7764
745	22715	7734
746	22744	7703
747	22774	7672
748	22805	7642
749	22836	7612
750	22868	7582
751	22898	7551
752	22929	7521
753	22959	7490
754	22990	7460
755	23020	7429
756	23051	7399
757	23081	7368
758	23111	7338
759	23141	7307
760	23171	7277
761	23202	7246
762	23233	7216
763	23264	7186
764	23296	7156
765	23304	7119
766	23333	7088
767	23362	7057
768	23392	7026
769	23421	6996
770	23450	6965
771	23480	6934
772	23510	6904
773	23540	6873
774	23569	6842
775	23598	6811
776	23627	6781
777	23658	6750
778	23687	6719
779	23716	6689
780	23745	6658
781	23775	6627
782	23805	6597
783	23835	6566
784	23865	6536
785	23895	6505
786	23924	6475
787	23953	6444
788	23983	6413
789	24013	6383
790	24042	6352
791	24073	6322
792	24104	6292
793	24133	6261
794	24164	6231
795	24194	6200
796	24225	6170
797	24255	6139
798	24285	6109
799	24314	6078
800	24343	6048
801	24373	6017
802	24404	5987
803	24435	5956
804	24464	5926
805	24493	5895
806	24524	5865
807	24552	5834
808	24584	5804
809	24612	5773
810	24643	5743
811	24674	5712
812	24705	5682
813	24735	5652
814	24767	5622
815	24797	5591
816	24827	5561
817	24858	5530
818	24889	5500
819	24919	5470
820	24949	5439
821	24979	5409
822	25011	5379
823	25041	5348
824	25070	5317
825	25100	5287
826	25130	5256
827	25160	5226
828	25189	5195
829	25219	5165
830	25249	5134
831	25279	5104
832	25309	5074
833	25340	5043
834	25371	5013
835	25400	4982
836	25430	4952
837	25460	4921
838	25489	4891
839	25519	4860
840	25550	4830
841	25579	4800
842	25610	4769
843	25639	4739
844	25645	4704
845	25675	4673
846	25705	4643
847	25734	4612
848	25764	4582
849	25794	4551
850	25822	4521
851	25850	4490
852	25880	4460
853	25910	4429
854	25940	4399
855	25969	4368
856	25999	4338
857	26029	4307
858	26060	4277
859	26091	4247
860	26123	4217
861	26152	4186
862	26184	4156
863	26214	4126
864	26243	4095
865	26275	4065
866	26305	4035
867	26323	4003
868	26353	3972
869	26382	3942
870	26412	3911
871	26443	3881
872	26474	3851
873	26504	3821
874	26535	3790
875	26565	3760
876	26597	3730
877	26627	3699
878	26656	3669
879	26687	3639
880	26718	3608
881	26747	3578
882	26776	3548
883	26805	3517
884	26834	3487
885	26863	3456
886	26893	3426
887	26925	3395
888	26956	3365
889	26987	3335
890	27017	3305
891	27047	3274
892	27077	3244
893	27107	3214
894	27137	3183
895	27166	3153
896	27195	3122
897	27225	3092
898	27254	3061
899	27284	3031
900	27314	3001
901	27344	2970
902	27372	2940
903	27401	2909
904	27432	2879
905	27462	2849
906	27491	2818
907	27523	2788
908	27554	2758
909	27583	2728
910	27611	2697
911	27640	2667
912	27670	2636
913	27699	2606
914	27729	2575
915	27757	2545
916	27785	2514
917	27815	2484
918	27846	2454
919	27876	2424
920	27907	2393
921	27937	2363
922	27967	2333
923	27998	2302
924	28028	2272
925	28058	2242
926	28089	2211
927	28120	2181
928	28149	2151
929	28180	2121
930	28210	2090
931	28240	2060
932	28271	2030
933	28301	1999
934	28331	1969
935	28361	1939
936	28389	1908
937	28418	1878
938	28447	1848
939	28477	1817
940	28506	1787
941	28535	1756
942	28563	1726
943	28592	1696
944	28622	1665
945	28652	1635
946	28682	1605
947	28711	1574
948	28741	1544
949	28770	1514
950	28800	1483
951	28829	1453
952	28859	1423
953	28889	1392
954	28919	1362
955	28949	1332
956	28979	1302
957	29010	1271
958	29039	1241
959	29068	1211
960	29098	1180
961	29129	1150
962	29158	1120
963	29188	1090
964	29218	1059
965	29248	1029
966	29279	999
967	29312	968
968	29342	938
969	29372	908
970	29403	878
971	29433	847
972	29465	817
973	29496	787
974	29527	757
975	29557	726
976	29587	696
977	29617	666
978	29649	635
979	29679	605
980	29710	575
981	29739	545
982	29769	514
983	29800	484
984	29830	454
985	29860	423
986	29890	393
987	29920	363
988	29949	333
989	29978	302
990	30008	272
991	30039	242
992	30070	211
993	30100	181
994	30129	151
995	30159	121
996	30189	90
997	30218	60
998	30249	30
999	30281	0
